Module,"Field Name","Field Type",Label,"Label Source",Required,"Read Only",Custom,"Linked Entity","DB Table","DB Column(s)","DB Column Type(s)","Options / Definition Details"
Account,intel_pack_last_run,datetime,"Intel Pack Last Run (AI)",i18n:fields,,yes,yes,,account,intel_pack_last_run,datetime,
Account,intel_pack_run,bool,"Intel Pack Run (AI)",i18n:fields,,,yes,,account,intel_pack_run,tinyint(1),
Account,intel_pain_points,text,"Pain Points (AI)",i18n:fields,,,yes,,account,intel_pain_points,mediumtext,
Account,intel_run,bool,"Intel Run (AI)",i18n:fields,,,yes,,account,intel_run,tinyint(1),
Account,intel_run_by,text,"Run By (AI)",i18n:fields,,,yes,,account,intel_run_by,mediumtext,
Account,intel_run_date,datetime,"Last Run (AI)",i18n:fields,,,yes,,account,intel_run_date,datetime,
Account,intel_sic,text,"Standard Industrial Classification Code (AI)",i18n:fields,,,yes,,account,intel_sic,mediumtext,
Account,intel_signal_linkedin,text,"LinkedIn Signal (AI)",i18n:fields,,,yes,,account,intel_signal_linkedin,mediumtext,
Account,intel_signal_news,text,"News Signal (AI)",i18n:fields,,,yes,,account,intel_signal_news,mediumtext,
Account,intel_sources,text,"Intel Sources",auto,,,yes,,account,intel_sources,mediumtext,
Account,intel_sources_hit,int,"Sources Hit (AI)",i18n:fields,,,yes,,account,intel_sources_hit,int,
Account,intel_underwriting_flag,text,"Underwriting Flag (AI)",i18n:fields,,,yes,,account,intel_underwriting_flag,mediumtext,
Account,intel_website,url,"Website (AI)",i18n:fields,,,yes,,account,intel_website,varchar(255),
Account,intel_website_notes,text,"Website Notes (AI)",i18n:fields,,,yes,,account,intel_website_notes,mediumtext,
Account,intel_years_in_business,int,"Years in Business (AI)",i18n:fields,,,yes,,account,intel_years_in_business,int,
Account,key_findings,text,"Key Findings",i18n:fields,,,yes,,account,key_findings,mediumtext,
Account,lastContactBy,link,"Last Contact By",auto,,,yes,User,account,last_contact_by_id,varchar(17),
Account,last_claim_date,date,"Last Claim Date",i18n:fields,,,yes,,account,last_claim_date,date,
Account,last_claim_lob,enum,"Last Claim Lob",auto,,,yes,,account,last_claim_lob,varchar(255),options=[|Auto|Home|Umbrella|Life|Medicare|Renters|Other]
Account,last_claim_status,enum,"Last Claim Status",auto,,,yes,,account,last_claim_status,varchar(255),options=[|Open|Closed|Subrogation]
Account,last_claim_type,text,"Last Claim Type",i18n:fields,,,yes,,account,last_claim_type,mediumtext,
Account,last_contact_date,date,"Last Contact Date",i18n:fields,,,yes,,account,last_contact_date,date,
Account,last_contact_outcome,enum,"Last Contact Outcome",auto,,,yes,,account,last_contact_outcome,varchar(255),"options=[|Reached|Voicemail|No Answer|Email Opened|Unresponsive]"
Account,last_contact_type,enum,"Last Contact Type",auto,,,yes,,account,last_contact_type,varchar(255),"options=[|Call|Email|Text|In Person]"
Account,linkedin_url,url,"Linkedin Url",auto,,,yes,,account,linkedin_url,varchar(255),
Account,lob,multiEnum,"Line of Business",i18n:fields,,,yes,,account,lob,mediumtext,"options=[Commercial Auto|GL|Workers Comp|Cargo|Home|Auto|Life|Medicare|BOP|Umbrella|Professional Liability|Builders Risk|Transportation]"
Account,mailingAddress,text,"Mailing Address",auto,,,yes,,account,mailing_address,mediumtext,
Account,mailingAddressSame,bool,"Mailing Address Same",i18n:fields,,,yes,,account,mailing_address_same,tinyint(1),default=true
Account,maritalStatus,enum,"Marital Status",auto,,,yes,,account,marital_status,varchar(255),options=[|Single|Married|Divorced|Widowed|Separated]
Account,modifiedAt,datetime,"Modified At",i18n:fields,,yes,,,account,modified_at,datetime,
Account,modifiedBy,link,"Modified By",i18n:fields,,yes,,User,account,modified_by_id,varchar(17),view=views/fields/user
Account,momentum_client_id,text,"Momentum Client ID",i18n:fields,,yes,yes,,account,momentum_client_id,mediumtext,
Account,momentum_last_synced,datetime,"Momentum Last Synced",i18n:fields,,,yes,,account,momentum_last_synced,datetime,
Account,name,varchar,Name,i18n:fields,yes,,,,account,name,varchar(249),"maxLength=249; pattern=$noBadCharacters; audited=true"
Account,next_renewal_carrier,text,"Next Renewal Carrier",auto,,,yes,,account,next_renewal_carrier,mediumtext,
Account,next_renewal_date,date,"Next Renewal Date",auto,,,yes,,account,next_renewal_date,date,
Account,next_renewal_lob,text,"Next Renewal Lob",auto,,,yes,,account,next_renewal_lob,mediumtext,
Account,next_x_date,date,"Next Renewal X-Date",i18n:fields,,,yes,,account,next_x_date,date,
Account,next_x_date_lob,text,"Next Renewal X-Date Line of Business",i18n:fields,,,yes,,account,next_x_date_lob,mediumtext,
Account,nps_date,date,"Net Promoter Score Date",i18n:fields,,,yes,,account,nps_date,date,
Account,nps_score,int,"Net Promoter Score",i18n:fields,,,yes,,account,nps_score,int,
